Date,Low,Open,Volume,High,Close,Adjusted Close
05-04-2000,12.75623893737793,12.923351287841797,77084766,14.037432670593262,13.814617156982422,8.598668098449707
06-04-2000,13.59179973602295,13.703208923339844,17167722,14.14884090423584,13.870321273803711,8.633338928222656
07-04-2000,13.480392456054688,13.703208923339844,15131516,13.870321273803711,13.647503852844238,8.494647026062012
10-04-2000,13.59179973602295,13.758913040161133,6324938,13.814617156982422,13.758913040161133,8.563994407653809
11-04-2000,13.424688339233398,13.647503852844238,6087860,13.703208923339844,13.480392456054688,8.390634536743164
12-04-2000,13.480392456054688,13.59179973602295,12169885,14.928698539733887,14.427362442016602,8.980059623718262
13-04-2000,14.204545021057129,14.483065605163574,11922484,15.374332427978516,15.151515007019043,9.430792808532715
14-04-2000,14.09313678741455,15.095810890197754,10659337,15.151515007019043,14.14884090423584,8.806697845458984
17-04-2000,14.260250091552734,14.260250091552734,3951908,14.650177955627441,14.371658325195312,8.94538688659668
18-04-2000,13.814617156982422,14.427362442016602,6083933,14.538769721984863,14.371658325195312,8.94538688659668
19-04-2000,14.037432670593262,14.427362442016602,6001354,14.427362442016602,14.260250091552734,8.876043319702148
20-04-2000,13.703208923339844,14.037432670593262,7755264,14.204545021057129,13.758913040161133,8.563994407653809
24-04-2000,13.758913040161133,13.814617156982422,3494806,14.260250091552734,14.204545021057129,8.841373443603516
25-04-2000,14.14884090423584,14.204545021057129,8311103,14.427362442016602,14.260250091552734,8.876043319702148
26-04-2000,14.14884090423584,14.204545021057129,6666587,14.315954208374023,14.315954208374023,8.910717010498047
27-04-2000,13.814617156982422,14.204545021057129,2788058,14.260250091552734,14.204545021057129,8.841373443603516
28-04-2000,13.703208923339844,14.204545021057129,6977494,15.040106773376465,14.76158618927002,9.188089370727539
01-05-2000,15.040106773376465,15.262923240661621,6605326,16.042781829833984,16.042781829833984,9.985548973083496
02-05-2000,15.485739707946777,15.708556175231934,3514777,15.987076759338379,15.875667572021484,9.881536483764648
03-05-2000,15.374332427978516,15.819964408874512,2223580,15.875667572021484,15.597147941589355,9.708170890808105
04-05-2000,14.427362442016602,15.485739707946777,3848236,15.597147941589355,15.597147941589355,9.708170890808105
05-05-2000,15.207219123840332,15.374332427978516,2043723,15.875667572021484,15.652852058410645,9.742841720581055
08-05-2000,15.875667572021484,15.93137264251709,3250995,16.544118881225586,16.042781829833984,9.985548973083496
09-05-2000,14.928698539733887,16.20989227294922,4750885,16.377004623413086,15.262923240661621,9.500140190124512
10-05-2000,15.151515007019043,15.151515007019043,3684087,15.875667572021484,15.652852058410645,9.742841720581055
11-05-2000,15.485739707946777,15.708556175231934,3363083,16.321300506591797,16.042781829833984,9.985548973083496
12-05-2000,16.098485946655273,16.15418815612793,2162318,16.544118881225586,16.432708740234375,10.228253364562988
15-05-2000,16.599821090698242,16.934045791625977,3025810,17.156862258911133,16.878341674804688,10.505629539489746
16-05-2000,16.76693344116211,16.934045791625977,5590589,17.435382843017578,16.989749908447266,10.574972152709961
17-05-2000,16.377004623413086,16.989749908447266,1769618,17.546791076660156,16.989749908447266,10.574972152709961
18-05-2000,16.65552520751953,16.934045791625977,3207349,17.045455932617188,16.864416122436523,10.49695873260498
19-05-2000,15.93137264251709,16.488414764404297,4300177,16.488414764404297,16.20989227294922,10.08956241607666
22-05-2000,15.485739707946777,16.265596389770508,1921649,16.377004623413086,16.265596389770508,10.124236106872559
23-05-2000,16.265596389770508,16.265596389770508,2349356,16.934045791625977,16.8226375579834,10.470954895019531
24-05-2000,16.599821090698242,16.8226375579834,1765018,17.37967872619629,17.26827049255371,10.748332023620605
25-05-2000,16.71122932434082,17.212566375732422,1944089,17.26827049255371,17.101158142089844,10.644314765930176
26-05-2000,16.878341674804688,17.045455932617188,2967241,17.658199310302734,17.602495193481445,10.956364631652832
30-05-2000,17.37967872619629,17.769607543945312,3622938,17.93671989440918,17.713903427124023,11.025708198547363
31-05-2000,17.26827049255371,17.713903427124023,3982651,18.270944595336914,18.270944595336914,11.372428894042969
01-06-2000,17.769607543945312,18.215240478515625,3229565,18.270944595336914,17.8253116607666,11.095050811767578
02-06-2000,18.159536361694336,18.716577529907227,3866524,18.772281646728516,18.716577529907227,11.649807929992676
05-06-2000,18.159536361694336,18.270944595336914,2666209,18.60516929626465,18.326648712158203,11.407103538513184
06-06-2000,18.159536361694336,18.60516929626465,3314276,18.60516929626465,18.215240478515625,11.33775520324707
07-06-2000,18.103832244873047,18.270944595336914,1034933,18.43805694580078,18.43805694580078,11.476444244384766
08-06-2000,18.048128128051758,18.326648712158203,1083067,18.382352828979492,18.215240478515625,11.33775520324707
09-06-2000,18.270944595336914,18.270944595336914,1342810,18.716577529907227,18.716577529907227,11.649807929992676
12-06-2000,17.546791076660156,18.49376106262207,1203457,18.54946517944336,18.215240478515625,11.33775520324707
13-06-2000,17.99242401123047,18.43805694580078,1093838,18.54946517944336,18.54946517944336,11.545793533325195
14-06-2000,17.658199310302734,18.326648712158203,2592269,18.382352828979492,17.8253116607666,11.095050811767578
15-06-2000,17.713903427124023,17.8253116607666,2809937,18.048128128051758,17.8253116607666,11.095050811767578
16-06-2000,17.602495193481445,17.99242401123047,3592756,18.048128128051758,17.88101577758789,11.129724502563477
19-06-2000,17.602495193481445,17.8253116607666,1431111,17.93671989440918,17.8253116607666,11.095050811767578
20-06-2000,16.544118881225586,17.713903427124023,3278596,17.88101577758789,16.76693344116211,10.436285018920898
21-06-2000,16.15418815612793,16.76693344116211,2741607,17.045455932617188,16.488414764404297,10.262923240661621
22-06-2000,16.488414764404297,16.65552520751953,2202823,17.37967872619629,17.101158142089844,10.644314765930176
23-06-2000,16.71122932434082,16.934045791625977,2425315,17.37967872619629,17.212566375732422,10.71366024017334
26-06-2000,17.045455932617188,17.8253116607666,1898087,17.93671989440918,17.101158142089844,10.644314765930176
27-06-2000,17.101158142089844,17.323974609375,2291461,18.270944595336914,17.713903427124023,11.025708198547363
28-06-2000,17.26827049255371,18.048128128051758,3952694,18.215240478515625,17.491086959838867,10.887020111083984
29-06-2000,17.491086959838867,17.713903427124023,5514293,19.217914581298828,18.995098114013672,11.823164939880371
30-06-2000,16.934045791625977,19.385026931762695,4954079,19.552139282226562,18.688724517822266,11.632469177246094
03-07-2000,18.43805694580078,18.49376106262207,922284,19.16221046447754,19.05080223083496,11.857837677001953
05-07-2000,18.270944595336914,18.939393997192383,2297856,18.939393997192383,18.827985763549805,11.71915054321289
06-07-2000,18.326648712158203,18.382352828979492,1764121,19.60784339904785,19.496435165405273,12.135215759277344
07-07-2000,19.329322814941406,19.385026931762695,1672341,19.66354751586914,19.496435165405273,12.135215759277344
10-07-2000,19.10650634765625,19.385026931762695,923069,19.496435165405273,19.10650634765625,11.892507553100586
11-07-2000,18.270944595336914,18.995098114013672,1630827,19.05080223083496,18.54946517944336,11.545793533325195
12-07-2000,17.88101577758789,18.49376106262207,2226385,18.60516929626465,18.215240478515625,11.33775520324707
